time,Measurement,DA,HA,RT,5%_fc,10%_fc,15%_fc,20%_fc,25%_fc,30%_fc,35%_fc,40%_fc,45%_fc,50%_fc,55%_fc,60%_fc,65%_fc,70%_fc,75%_fc,80%_fc,85%_fc,90%_fc,95%_fc
1/1/2022 14:30,0.1927,0.3539,0.19950681,0.13,0.051861262,0.073648744,0.083836398,0.100934475,0.119336509,0.140280654,0.159163447,0.171915007,0.188937293,0.19950681,0.21510016,0.233557103,0.254035398,0.278201123,0.30422994,0.332776974,0.365404982,0.422924774,0.543879504
1/1/2022 14:45,0.2589,0.38435,0.243894836,0.1927,0.077791893,0.110473116,0.125754597,0.144155763,0.161293473,0.183315372,0.202065667,0.218333314,0.235015211,0.243894836,0.260111708,0.274067469,0.293395097,0.312617557,0.335713834,0.362195782,0.391953655,0.44565064,0.556204749
1/1/2022 15:00,0.2836,0.4148,0.288282863,0.2589,0.103722525,0.147297488,0.167672796,0.187377051,0.203250437,0.226350089,0.244967888,0.264751621,0.281093129,0.288282863,0.305123255,0.314577835,0.332754795,0.347033991,0.367197728,0.39161459,0.418502329,0.468376505,0.568529993
1/1/2022 15:15,0.3068,0.441925,0.289214679,0.2836,0.097129753,0.137225248,0.161199388,0.183773851,0.2038318,0.22591527,0.244924242,0.26271452,0.277394159,0.289214679,0.30985277,0.323862637,0.344916872,0.361791746,0.37950526,0.405768329,0.43466051,0.481104511,0.581793742
1/1/2022 15:30,0.3628,0.46905,0.290146495,0.3068,0.090536982,0.127153009,0.15472598,0.180170651,0.204413163,0.225480451,0.244880595,0.260677419,0.273695189,0.290146495,0.314582285,0.33314744,0.357078949,0.376549501,0.391812792,0.419922067,0.450818691,0.493832518,0.595057491
1/1/2022 15:45,0.3261,0.496175,0.29107831,0.3628,0.08394421,0.117080769,0.148252572,0.176567451,0.204994526,0.225045632,0.244836949,0.258640319,0.269996218,0.29107831,0.3193118,0.342432242,0.369241025,0.391307256,0.404120324,0.434075806,0.466976872,0.506560525,0.608321239
1/1/2022 16:00,0.2659,0.5233,0.292010126,0.3261,0.077351439,0.10700853,0.141779164,0.172964251,0.20557589,0.224610813,0.244793302,0.256603218,0.266297248,0.292010126,0.324041315,0.351717045,0.381403102,0.406065011,0.416427856,0.448229545,0.483135053,0.519288531,0.621584988
1/1/2022 16:15,0.3163,0.545625,0.318712762,0.2659,0.0972021,0.131992895,0.165294911,0.194753215,0.226402099,0.247695246,0.268386422,0.283998282,0.295544921,0.318712762,0.34861409,0.372886857,0.399071321,0.419622334,0.431868053,0.462681525,0.495922644,0.530358059,0.636978847
1/1/2022 16:30,0.3924,0.56795,0.345415398,0.3163,0.11705276,0.156977261,0.188810658,0.21654218,0.247228309,0.270779678,0.291979541,0.311393345,0.324792595,0.345415398,0.373186865,0.394056669,0.416739541,0.433179657,0.447308249,0.477133504,0.508710235,0.541427587,0.652372706
1/1/2022 16:45,0.4245,0.590275,0.372118033,0.3924,0.136903421,0.181961626,0.212326406,0.238331144,0.268054518,0.293864111,0.315572661,0.338788409,0.354040269,0.372118033,0.39775964,0.415226482,0.434407761,0.44673698,0.462748446,0.491585484,0.521497826,0.552497115,0.667766566
1/1/2022 17:00,0.4438,0.6126,0.398820669,0.4245,0.156754082,0.206945991,0.235842153,0.260120108,0.288880728,0.316948544,0.339165781,0.366183472,0.383287942,0.398820669,0.422332415,0.436396294,0.45207598,0.460294303,0.478188642,0.506037464,0.534285417,0.563566643,0.683160425
1/1/2022 17:15,0.4613,0.661875,0.461748762,0.4438,0.191806757,0.242960517,0.277628912,0.309162168,0.342260117,0.37003086,0.39384883,0.421042334,0.4397768,0.461748762,0.485934898,0.504904958,0.523238056,0.537614848,0.558364499,0.589426103,0.61978379,0.652249089,0.752990975
1/1/2022 17:30,0.4953,0.71115,0.524676855,0.4613,0.226859433,0.278975042,0.319415671,0.358204227,0.395639507,0.423113177,0.448531879,0.475901196,0.496265657,0.524676855,0.54953738,0.573413623,0.594400131,0.614935392,0.638540357,0.672814741,0.705282162,0.740931535,0.822821526
1/1/2022 17:45,0.4581,0.760425,0.587604948,0.4953,0.261912109,0.314989568,0.361202429,0.407246287,0.449018897,0.476195494,0.503214928,0.530760058,0.552754515,0.587604948,0.613139862,0.641922287,0.665562206,0.692255937,0.718716214,0.75620338,0.790780534,0.82961398,0.892652076
1/1/2022 18:00,0.5226,0.8097,0.650533041,0.4581,0.296964784,0.351004093,0.402989188,0.456288346,0.502398287,0.52927781,0.557897978,0.58561892,0.609243372,0.650533041,0.676742345,0.710430951,0.736724282,0.769576481,0.798892071,0.839592019,0.876278906,0.918296426,0.962482626
1/1/2022 18:15,0.5813,0.8461,0.646534332,0.5226,0.298759939,0.354878291,0.405544576,0.455180361,0.499424775,0.52658945,0.556568148,0.585408205,0.609103324,0.646534332,0.673244622,0.703840082,0.7304101,0.764569725,0.791615187,0.831134881,0.868499997,0.913055946,0.960623535
1/1/2022 18:30,0.6391,0.8825,0.642535623,0.5813,0.300555094,0.358752488,0.408099963,0.454072376,0.496451263,0.523901089,0.555238318,0.58519749,0.608963277,0.642535623,0.669746899,0.697249212,0.724095918,0.759562969,0.784338304,0.822677743,0.860721089,0.907815466,0.958764444
1/1/2022 18:45,0.6319,0.9189,0.638536915,0.6391,0.302350249,0.362626686,0.41065535,0.452964391,0.49347775,0.521212729,0.553908488,0.584986774,0.608823229,0.638536915,0.666249176,0.690658343,0.717781736,0.754556213,0.77706142,0.814220605,0.852942181,0.902574987,0.956905352
1/1/2022 19:00,0.6989,0.9553,0.634538206,0.6319,0.304145404,0.366500883,0.413210738,0.451856406,0.490504238,0.518524369,0.552578658,0.584776059,0.608683181,0.634538206,0.662751453,0.684067473,0.711467554,0.749549457,0.769784536,0.805763467,0.845163272,0.897334507,0.955046261
