time,Measurement,DA_1,DA_2,DA_3,HA,RT,HA_ub,HA_lb
01/04/2021 05.45,0,0,0,0,0,0,0,0
01/04/2021 06.00,0,0,0,0,0,0,0,0
01/04/2021 06.15,0,0,0,0,0,0,0,0
01/04/2021 06.30,0,0,0,0,0,0,0,0
01/04/2021 06.45,0,0,0,0,0,0,0,0
01/04/2021 07.00,0,0,0,0,0,0,0,0
01/04/2021 07.15,0,0,0,0,0,0,0,0
01/04/2021 07.30,0,0,0,0,0,0,0,0
01/04/2021 07.45,0,0,0,0,0,0,0,0
01/04/2021 08.00,0,0,0,0,0,0,0,0
01/04/2021 08.15,0,0,0,0,0,0,0,0
01/04/2021 08.30,7.50E-05,2.84E-06,0.004484714,0.006134206,2.84E-06,0,0.00000355,0.00000213
01/04/2021 08.45,0.000825,8.51E-06,0.013454142,0.01840262,8.51E-06,7.50E-05,1.06375E-05,6.3825E-06
01/04/2021 09.00,0,0,0.032720844,0.036607004,0,0.000825,0,0
01/04/2021 09.15,0.000625,0,0.034825422,0.044918103,0,0,0,0
01/04/2021 09.30,0.004775,0.004804145,0.03693,0.053229201,0.004804145,0.000625,0.006005181,0.003603109
01/04/2021 09.45,0.008925,0.014367035,0.039034578,0.0615403,0.014367035,0.004775,0.017958794,0.010775276
01/04/2021 10.00,0.0137125,0.032674462,0.041360768,0.067855232,0.032674462,0.008925,0.040843078,0.024505847
01/04/2021 10.15,0.0174375,0.036407661,0.043317604,0.077497108,0.036407661,0.0137125,0.045509576,0.027305746
01/04/2021 10.30,0.0211625,0.040140861,0.04527444,0.087138984,0.040140861,0.0174375,0.050176076,0.030105646
01/04/2021 10.45,0.0248875,0.04387406,0.047231276,0.09678086,0.04387406,0.0211625,0.054842575,0.032905545
01/04/2021 11.00,0.0274875,0.044205618,0.055214898,0.148148538,0.044205618,0.0248875,0.055257023,0.033154214
01/04/2021 11.15,0.0319625,0.050206578,0.053153877,0.129973213,0.050206578,0.0274875,0.062758223,0.037654934
01/04/2021 11.30,0.0364375,0.056207538,0.051092855,0.111797888,0.056207538,0.0319625,0.070259423,0.042155654
01/04/2021 11.45,0.0409125,0.062208498,0.049031834,0.093622563,0.062208498,0.0364375,0.077760623,0.046656374
01/04/2021 12.00,0.0535625,0.053672562,0.025959947,0.058446009,0.053672562,0.0409125,0.067090703,0.040254422
01/04/2021 12.15,0.0525875,0.069364786,0.037906169,0.051604837,0.069364786,0.0535625,0.086705983,0.05202359
01/04/2021 12.30,0.0516125,0.085057008,0.049852391,0.044763665,0.085057008,0.0525875,0.10632126,0.063792756
01/04/2021 12.45,0.0506375,0.100749231,0.061798613,0.037922493,0.100749231,0.0516125,0.125936539,0.075561923
01/04/2021 13.00,0.0609125,0.174400867,0.123178253,0.02813204,0.174400867,0.0506375,0.218001084,0.13080065
01/04/2021 13.15,0.0524375,0.151453482,0.102168864,0.023257056,0.151453482,0.0609125,0.189316853,0.113590112
01/04/2021 13.30,0.0439625,0.128506096,0.081159475,0.018382072,0.128506096,0.0524375,0.16063262,0.096379572
01/04/2021 13.45,0.0354875,0.105558711,0.060150086,0.013507088,0.105558711,0.0439625,0.131948389,0.079169033
01/04/2021 14.00,0.019775,0.06626159,0.010486593,0.001814489,0.06626159,0.0354875,0.082826988,0.049696193
01/04/2021 14.15,0.016125,0.054214028,0.00857994,0.001484582,0.054214028,0.019775,0.067767535,0.040660521
01/04/2021 14.30,0.012475,0.042166466,0.006673286,0.001154675,0.042166466,0.016125,0.052708083,0.03162485
01/04/2021 14.45,0.008825,0.030118904,0.004766633,0.000824768,0.030118904,0.012475,0.03764863,0.022589178
01/04/2021 15.00,0,0,0,0,0,0.008825,0,0
01/04/2021 15.15,0,0,0,0,0,0,0,0
01/04/2021 15.30,0,0,0,0,0,0,0,0
01/04/2021 15.45,0,0,0,0,0,0,0,0
01/04/2021 16.00,0,0,0,0,0,0,0,0
01/04/2021 16.15,0,0,0,0,0,0,0,0
01/04/2021 16.30,0,0,0,0,0,0,0,0
01/04/2021 16.45,0,0,0,0,0,0,0,0
01/04/2021 17.00,0,0,0,0,0,0,0,0
01/04/2021 17.15,0,0,0,0,0,0,0,0
01/04/2021 17.30,0,0,0,0,0,0,0,0
01/04/2021 17.45,0,0,0,0,0,0,0,0
01/04/2021 18.00,0,0,0,0,0,0,0,0
01/04/2021 18.15,0,0,0,0,0,0,0,0
01/04/2021 18.30,0,0,0,0,0,0,0,0
01/04/2021 18.45,0,0,0,0,0,0,0,0
01/04/2021 19.00,0,0,0,0,0,0,0,0
01/04/2021 19.15,0,0,0,0,0,0,0,0
01/04/2021 19.30,0,0,0,0,0,0,0,0
01/04/2021 19.45,0,0,0,0,0,0,0,0
01/04/2021 20.00,0,0,0,0,0,0,0,0
01/04/2021 20.15,0,0,0,0,0,0,0,0
01/04/2021 20.30,0,0,0,0,0,0,0,0
01/04/2021 20.45,0,0,0,0,0,0,0,0
01/04/2021 21.00,0,0,0,0,0,0,0,0
01/04/2021 21.15,0,0,0,0,0,0,0,0
01/04/2021 21.30,0,0,0,0,0,0,0,0
