0,1,type
finance.revenues,"{'desc': '', 'val': array([1.]), 'units': None, 'prom_name': 'revenues'}",output
finance.NPV,"{'desc': '', 'val': array([1.]), 'units': None, 'prom_name': 'NPV'}",output
finance.IRR,"{'desc': '', 'val': array([1.]), 'units': None, 'prom_name': 'IRR'}",output
finance.NPV_over_CAPEX,"{'desc': '', 'val': array([1.]), 'units': None, 'prom_name': 'NPV_over_CAPEX'}",output
finance.LCOE,"{'desc': '', 'val': array([1.]), 'units': None, 'prom_name': 'LCOE'}",output
finance.mean_AEP,"{'desc': '', 'val': array([1.]), 'units': None, 'prom_name': 'mean_AEP'}",output
finance.penalty_lifetime,"{'desc': '', 'val': array([1.]), 'units': None, 'prom_name': 'penalty_lifetime'}",output
finance.break_even_PPA_price,"{'desc': '', 'val': array([1.]), 'units': None, 'prom_name': 'break_even_PPA_price'}",output
genericWT.ws,"{'desc': ""Turbine's ws"", 'val': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.]), 'units': 'm/s', 'prom_name': 'ws'}",output
genericWT.pc,"{'desc': ""Turbine's power curve"", 'val': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.]), 'units': 'MW', 'prom_name': 'pc'}",output
genericWT.ct,"{'desc': ""Turbine's ct curve"", 'val': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.]), 'units': None, 'prom_name': 'ct'}",output
genericWake.pcw,"{'desc': 'Wake affected power curve', 'val': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.]), 'units': None, 'prom_name': 'pcw'}",output
mapping.hh,"{'desc': 'Hub height', 'val': array([80.]), 'units': 'm', 'prom_name': 'hh'}",output
mapping.d,"{'desc': 'Rotor diameter', 'val': array([100.]), 'units': 'm', 'prom_name': 'd'}",output
mapping.Awpp,"{'desc': 'Wind farm area', 'val': array([20.]), 'units': 'km**2', 'prom_name': 'Awpp'}",output
mapping.b_E,"{'desc': 'Battery energy', 'val': array([300.]), 'units': None, 'prom_name': 'b_E'}",output
mapping.p_rated_out,"{'desc': '', 'val': array([5.]), 'units': 'MW', 'prom_name': 'p_rated_out'}",output
mapping.Nwt_out,"{'desc': '', 'val': array([100]), 'units': None, 'prom_name': 'Nwt_out'}",output
mapping.solar_MW_out,"{'desc': '', 'val': array([100.]), 'units': 'MW', 'prom_name': 'solar_MW_out'}",output
mapping.surface_tilt_out,"{'desc': '', 'val': array([25.]), 'units': 'deg', 'prom_name': 'surface_tilt_out'}",output
mapping.surface_azimuth_out,"{'desc': '', 'val': array([180.]), 'units': 'deg', 'prom_name': 'surface_azimuth_out'}",output
mapping.DC_AC_ratio_out,"{'desc': '', 'val': array([1.]), 'units': None, 'prom_name': 'DC_AC_ratio_out'}",output
mapping.b_P_out,"{'desc': '', 'val': array([50.]), 'units': 'MW', 'prom_name': 'b_P_out'}",output
mapping.cost_of_battery_P_fluct_in_peak_price_ratio_out,"{'desc': '', 'val': array([10.]), 'units': None, 'prom_name': 'cost_of_battery_P_fluct_in_peak_price_ratio_out'}",output
pvp.solar_t,"{'desc': 'PV power time series', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(8760,)), 'units': 'MW', 'prom_name': 'solar_t'}",output
pvp.Apvp,"{'desc': 'Land use area of WPP', 'val': array([1.]), 'units': 'km**2', 'prom_name': 'Apvp'}",output
pvp_cost.CAPEX_s,"{'desc': 'CAPEX of the PV power plant', 'val': array([1.]), 'units': None, 'prom_name': 'CAPEX_s'}",output
pvp_cost.OPEX_s,"{'desc': 'OPEX of the PV power plant', 'val': array([1.]), 'units': None, 'prom_name': 'OPEX_s'}",output
pvp_with_degradation.solar_t_ext_deg,"{'desc': 'PVP power time series with degradation', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219000,)), 'units': 'MW', 'prom_name': 'solar_t_ext_deg'}",output
pvp_with_reliability.solar_t_rel,"{'desc': '', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219000,)), 'units': 'MW', 'prom_name': 'solar_t_rel'}",output
shared_cost.CAPEX_sh,"{'desc': 'CAPEX electrical infrastructure/ land rent', 'val': array([1.]), 'units': None, 'prom_name': 'CAPEX_sh'}",output
shared_cost.OPEX_sh,"{'desc': 'OPEX electrical infrastructure/ land rent', 'val': array([1.]), 'units': None, 'prom_name': 'OPEX_sh'}",output
wpp.wind_t,"{'desc': 'power time series at the hub height', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(8760,)), 'units': 'MW', 'prom_name': 'wind_t'}",output
wpp_cost.CAPEX_w,"{'desc': 'CAPEX of the wind power plant', 'val': array([1.]), 'units': None, 'prom_name': 'CAPEX_w'}",output
wpp_cost.OPEX_w,"{'desc': 'OPEX of the wind power plant', 'val': array([1.]), 'units': None, 'prom_name': 'OPEX_w'}",output
wpp_with_degradation.wind_t_ext_deg,"{'desc': 'power time series with degradation', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219000,)), 'units': 'MW', 'prom_name': 'wind_t_ext_deg'}",output
wpp_with_reliability.wind_t_rel,"{'desc': '', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219000,)), 'units': 'MW', 'prom_name': 'wind_t_rel'}",output
