Iteration,Eval,New simulations,Time [min],NPV_over_CAPEX,clearance [m],sp [W/m2],p_rated [MW],Nwt,wind_MW_per_km2 [MW/km2],solar_MW [MW],surface_tilt [deg],surface_azimuth [deg],DC_AC_ratio,b_P [MW],b_E_h [h],cost_of_battery_P_fluct_in_peak_price_ratio
8,172,21,2.39,-0.917891009,86.47540646,335.468,10.406375,26.450375,9.987729921,30,24.20325,210,1.479,20,4,8.75
8,173,21,2.39,-0.947196626,86.47540646,335.468,10.406375,29.3871496,9.400375,30,24.20325,210,1.479,20,4,8.75
8,174,21,2.39,-0.945570686,86.47540646,335.468,11.38529987,26.450375,9.400375,30,24.20325,210,1.479,20,4,8.75
8,175,21,2.39,-0.916555655,86.47540646,345.9098653,10.406375,26.450375,9.400375,30,24.20325,210,1.479,20,4,8.75
8,176,21,2.39,-0.939153445,93.65418882,335.468,10.406375,26.450375,9.400375,30,24.20325,210,1.479,20,4,8.75
9,174,21,3.18,-0.715632852,10,335.468,10.406375,29.3871496,9.400375,30,24.20325,210,1.479,20,4,8.75
9,175,21,3.18,-0.740105919,34.57125,305.9,5.645375,36.332375,9.847675,195.24425,22.90275,197.3745,1.479,20,4,8.75
9,176,21,3.18,-0.770883746,35.08825,293.572,8.586125,39.714125,9.819775,178.60975,69.72075,181.0755,1.479,20,4,8.75
9,177,21,3.18,-0.759143032,41.54525,262.54,5.086625,44.121875,9.966925,38.48725,89.05275,179.2545,1.479,20,4,8.75
9,178,21,3.18,-0.642984413,72.94475,358.404,13.200125,36.251375,9.882325,36.20925,72.51075,153.8175,1.479,20,4,8.75
9,179,21,3.18,-0.685606216,84.36825,359.964,11.745125,40.236125,9.862525,165.87675,32.22225,201.4545,1.479,20,4,8.75
9,180,21,3.18,0.965530093,86.47540646,200,10.406375,29.3871496,9.400375,30,24.20325,210,1.479,20,4,8.75
9,181,21,3.18,-0.624381256,86.47540646,335.468,5,29.3871496,9.400375,30,24.20325,210,1.479,20,4,8.75
9,182,21,3.18,-0.263788662,86.47540646,335.468,10.406375,5,9.400375,30,24.20325,210,1.479,20,4,8.75
9,183,21,3.18,0.984505022,86.47540646,335.468,10.406375,29.3871496,1,30,24.20325,210,1.479,20,4,8.75
9,184,21,3.18,-0.934001899,86.47540646,335.468,10.406375,29.3871496,9.400375,30,0,210,1.479,20,4,8.75
9,185,21,3.18,-0.937284713,86.47540646,335.468,10.406375,29.3871496,9.400375,30,24.20325,150,1.479,20,4,8.75
9,186,21,3.18,-0.947196626,86.47540646,335.468,10.406375,29.3871496,9.400375,30,24.20325,210,1.479,20,4,8.75
9,187,21,3.18,-0.94184802,86.47540646,335.468,10.406375,29.3871496,9.400375,30,90,210,1.479,20,4,8.75
9,188,21,3.18,-0.918779945,86.47540646,335.468,10.406375,29.3871496,9.400375,200,24.20325,210,1.479,20,4,8.75
9,189,21,3.18,-0.943426889,86.47540646,335.468,10.406375,29.3871496,10,30,24.20325,210,1.479,20,4,8.75
9,190,21,3.18,-0.611718126,86.47540646,335.468,10.406375,50,9.400375,30,24.20325,210,1.479,20,4,8.75
9,191,21,3.18,1.037690051,86.47540646,335.468,20,29.3871496,9.400375,30,24.20325,210,1.479,20,4,8.75
9,192,21,3.18,-0.931957371,86.47540646,360,10.406375,29.3871496,9.400375,30,24.20325,210,1.479,20,4,8.75
9,193,21,3.18,-0.7508342,95.16475,293.092,7.120625,28.779125,9.559225,171.29975,72.46125,153.1845,1.479,20,4,8.75
9,194,21,3.18,0.999644311,120,335.468,10.406375,29.3871496,9.400375,30,24.20325,210,1.479,20,4,8.75
10,194,21,3.21,-0.764863569,29.80275,265.548,10.741625,27.615875,9.503425,81.36125,18.53325,200.1765,1.479,20,4,8.75
10,195,21,3.21,-0.854789755,68.66025,257.956,9.045125,30.952625,9.784225,45.60175,82.69875,164.9265,1.479,20,4,8.75
10,196,21,3.21,-0.835386473,75.92575,358.516,7.492625,34.467125,6.758425,115.31025,44.52525,172.2195,1.479,20,4,8.75
10,197,21,3.21,-0.905424791,76.30525,355.596,9.108125,32.284625,6.949225,177.41125,60.79275,200.5815,1.479,20,4,8.75
10,198,21,3.21,-0.931246076,80.74717507,335.468,10.406375,29.3871496,9.400375,30,24.20325,210,1.479,20,4,8.75
